"gene","rho","p.value"
"Kti12",0.80952380952381,0.0149026676862301
"Lpcat1",0.80952380952381,0.0149026676862301
"Mpg",0.80952380952381,0.0149026676862301
"Nhlrc3",0.80952380952381,0.0149026676862301
"Noxo1",0.80952380952381,0.0149026676862301
"Npc1",0.80952380952381,0.0149026676862301
"Npepps",0.80952380952381,0.0149026676862301
"Pcgf3",0.80952380952381,0.0149026676862301
"Per1",0.80952380952381,0.0149026676862301
"Phykpl",0.80952380952381,0.0149026676862301
"Pnpla8",0.80952380952381,0.0149026676862301
"Polr2m",0.80952380952381,0.0149026676862301
"Rab27a",0.80952380952381,0.0149026676862301
