name	description	E16.5	E18.5	PND1	PND3	PND7	PND10	PND14	PND28
Fbxl3	na	4.09690449001109	4.10139706912188	5.28293304551416	4.93582952492125	4.91740963953929	4.82409997182554	5.27081596979107	4.97043223782229
Fbxo33	na	3.23407271784238	3.1950080948882	3.93404875161955	3.59039019915335	3.29952042378972	3.55000323355515	3.98136577959016	4.1892875566825
Fbxw7	na	3.60065706552244	3.67610354280575	4.78768696811556	4.38004332438962	4.06736437493576	4.36534875311343	4.15591584526631	3.7616526215922
Fbxw8	na	2.56235306266398	2.61111754616822	3.43002003160849	2.68339969359938	2.77890577455663	2.92709202336324	2.97384542893713	2.4690202593976
Fcf1	na	5.2613809964273	5.55504702984615	5.54428767132389	5.18633193073084	5.55084418538715	5.1445005206705	5.28732970946629	5.54541103779141
Fdps	na	4.72430795297348	5.60112739682915	5.95192947012794	5.47289850830052	5.47024346110606	4.60241969135782	4.77888807714348	5.85423915243654
Fem1a	na	2.80545702845369	3.22922211459142	3.22416280664818	3.24118380273819	3.08702930491611	3.23004058111704	3.01979142212044	2.86740361972243
Fgfr2	na	7.54564874542096	7.67828231034078	8.16184133440613	7.71220643568989	7.83454933994806	7.86587404141146	7.93351534112167	7.92021966777151
Fgl1	na	1.28346362138564	0.914136321287548	1.32818842403745	1.7565654686573	1.21367510355695	1.18621251438588	1.45597251557051	1.31623276291986
Fhod1	na	3.65025951798789	4.0099080406341	4.74670590277843	4.31925559322009	4.24829896096031	3.76349016889759	4.41342669344028	4.17067756666123
Fibp	na	5.05661780688202	5.01345680326227	5.23151677105691	4.96771844228602	5.07472855378826	5.1384646927469	4.69947830350006	4.80763465195559
Fitm1	na	0.942246129840065	0.797431418878634	0.996926001961545	1.09663280349596	0.844450662385954	0.757671048563966	0.766743798549079	1.1947770284958
Fkbp10	na	2.38251434338914	2.60544684910387	2.72874936770488	2.47695094259278	2.68898545903785	2.51060286292482	2.45076051985727	2.85914412970517
Fkbp14	na	1.77313916302347	2.00439520913948	1.79376703681887	1.7748124795662	1.90798323765676	2.29100421695577	1.61571361722494	1.78027578618578
Fkbp1a	na	6.45893316174514	6.7941285134776	6.71498367376139	6.63191114715393	6.7529790625299	6.55881898015204	6.551718326663	6.79130873560597
Fkbp8	na	5.20795559317747	5.54328756095503	6.031236424506	5.7011722351364	5.73863688922847	5.80002229628807	5.74813413151901	5.97426982170198
Fkbp9	na	3.90023878463316	4.61315422275875	4.82519570583341	4.44278984711824	4.69907205405752	4.272593850766	4.71243120968328	4.61569531786497
Flcn	na	4.44502516312086	5.85818959528236	6.64966713491154	5.56887203435392	5.0938837918093	4.85725580963281	5.37836205701141	4.92245871744538
Fn1	na	1.67202673311621	1.11735003052615	1.69837925579677	1.88740465547513	2.54248197216606	1.83365728525491	1.38571961534214	1.90199641431271
Fnbp4	na	5.54935857795546	5.58108427968314	6.02661344446863	5.61936946717353	5.28608205774084	5.39567122926271	5.47070359552198	5.54441471490218
Fnip1	na	5.06164038004407	4.83086198301637	5.90730089814724	5.54425752985623	5.44962003272804	5.44982233429933	5.56539653767681	5.71524427576317
Fnip2	na	4.07084781873747	4.01198964338816	4.64395256870848	4.30467586275951	4.24576877015672	3.93577867947862	4.29512077066724	4.67719346863145
Fos	na	2.83356127525894	2.17192935475176	4.86002786409839	4.0323258121627	3.49787768686163	2.29546671506114	2.59579301145823	2.86778756891869
Fosb	na	-0.439153419564797	-0.614758661941966	-0.39418281046747	-0.406878403846905	-0.567927419372191	-0.639535441530209	-0.629679419259944	-0.562724552491875
Fosl2	na	2.98348863620149	3.21579158922563	3.50081134043833	3.6911636655894	3.42330833789602	3.42614492282634	3.19476185864787	3.00177368018999
Foxj2	na	3.92596991664604	3.70736611834439	4.26992602151426	3.99812063910755	4.16729794621844	3.91333515546996	4.21274803000148	4.3251514657113
Frs3	na	0.775887161389888	0.511630051384348	0.835029325993188	0.792997262424116	0.757510268612155	0.731673224529587	0.487670341352512	1.0356234660377
Ftl1	na	8.96899012892648	9.69750093767505	10.5519534613568	9.76828958744774	9.94907323645663	9.50009707229179	9.58292848545015	10.2431253189504
Fut11	na	3.60502111712315	3.82802047642507	3.81947542208497	3.56418809850414	3.30068297904602	3.77956353700809	3.21179165847983	3.89776057541489
Fut4	na	3.1923852751934	3.6930814149345	3.89840270770784	3.64339040719656	3.48975100963928	3.3130607918297	3.43547130335079	3.86023751517348
Fzd5	na	3.63270045695677	3.0239520340083	4.82274210247591	4.42134528767003	3.86923599952038	4.24593593538716	4.4721630519756	4.70297419662906
