"gene","rho","p.value"
"Rpl30",0.732352941176471,0.00125495816615226
"Med25",0.729411764705882,0.00134307868238367
"Eef1a1",0.723529411764706,0.00153448118982396
"Tcp11l2",0.723529411764706,0.00153448118982396
"Gpr108",0.717647058823529,0.00174753506047024
"Mob2",0.717647058823529,0.00174753506047024
"Rpl35a",0.717647058823529,0.00174753506047024
"Kxd1",0.714705882352941,0.00186274109994744
"Map1lc3b",0.714705882352941,0.00186274109994744
"Rpl22l1",0.714705882352941,0.00186274109994744
"Eif1",0.711764705882353,0.00198404324776997
"Pank4",0.711764705882353,0.00198404324776997
"Pard6a",0.711764705882353,0.00198404324776997
"Sema4d",0.708823529411765,0.00211168123925454
"Exosc7",0.705882352941176,0.00224590060105133
"Rpl36al",0.705882352941176,0.00224590060105133
"Rps11",0.705882352941176,0.00224590060105133
"8430408G22Rik",0.702941176470588,0.00238695266930094
"B4galt1",0.702941176470588,0.00238695266930094
"Atp6v0d1",0.7,0.00253509460443193
"Rab27a",0.7,0.00253509460443193
"Slc25a1",0.697058823529412,0.0026905894025606
"Zfp637",0.697058823529412,0.0026905894025606
"Lamtor5",0.694117647058824,0.00285370590345691
"Rps2",0.694117647058824,0.00285370590345691
"Kdm3a",0.691176470588235,0.00302471879504341
"Opa3",0.691176470588235,0.00302471879504341
"Rps15a",0.691176470588235,0.00302471879504341
"Atp6v1g1",0.688235294117647,0.00320390861439574
"Kcnj13",0.688235294117647,0.00320390861439574
"Mrps33",0.688235294117647,0.00320390861439574
"Itga6",0.685294117647059,0.0033915617452166
"Klk13",0.685294117647059,0.0033915617452166
"Bmf",0.682352941176471,0.00358797041175672
"Ndufa7",0.679411764705882,0.00379343266915975
"Fastkd1",0.676470588235294,0.00400825239020936
"Iscu",0.676470588235294,0.00400825239020936
"2810410L24Rik",0.673529411764706,0.0042327392484605
"Bcl2a1b",0.673529411764706,0.0042327392484605
"Ndufa6",0.673529411764706,0.0042327392484605
"Gpx1",0.670588235294118,0.00446720869773813
"Pgs1",0.670588235294118,0.00446720869773813
"Rpl35",0.670588235294118,0.00446720869773813
"Tmem208",0.670588235294118,0.00446720869773813
"9530003J23Rik",0.667647058823529,0.00471198194798998
"Polr1c",0.667647058823529,0.00471198194798998
"Col6a2",0.664705882352941,0.004967385937482
"Tmem147",0.664705882352941,0.004967385937482
"Eif4h",0.661764705882353,0.0052337533013275
"Gstz1",0.661764705882353,0.0052337533013275
"Klhdc3",0.661764705882353,0.0052337533013275
"Mettl23",0.661764705882353,0.0052337533013275
"Cdkn2b",0.658823529411765,0.00551142233634371
"Cox8a",0.658823529411765,0.00551142233634371
"Rdh14",0.658823529411765,0.00551142233634371
"Tpst2",0.658823529411765,0.00551142233634371
"Anapc4",0.655882352941176,0.0058007369622315
"Casp9",0.655882352941176,0.0058007369622315
"Rps19",0.655882352941176,0.0058007369622315
"Lamtor3",0.652941176470588,0.00610204667907699
"Lztfl1",0.652941176470588,0.00610204667907699
"Rplp2",0.652941176470588,0.00610204667907699
"Clk1",0.65,0.0064157065211753
"D230025D16Rik",0.65,0.0064157065211753
"Mgst1",0.65,0.0064157065211753
"Tex264",0.65,0.0064157065211753
"Cript",0.647058823529412,0.00674207700717987
"Hba-a1",0.647058823529412,0.00674207700717987
"Ranbp10",0.647058823529412,0.00674207700717987
"Uba52",0.647058823529412,0.00674207700717987
"Bad",0.644117647058823,0.00708152408658287
"Dhx16",0.644117647058823,0.00708152408658287
"Gtdc1",0.644117647058823,0.00708152408658287
